feature,coef,abs_coef
credit_type_EQUI,6.44633994333436,6.44633994333436
credit_type_EXP,-1.966022998945475,1.966022998945475
credit_type_CIB,-1.9345979683753385,1.9345979683753385
credit_type_CRIF,-1.8988804981193195,1.8988804981193195
lump_sum_payment_lpsm,1.6044082333619034,1.6044082333619034
lump_sum_payment_not_lpsm,-0.9575697554697231,0.9575697554697231
submission_of_application_to_inst,0.9133146605527006,0.9133146605527006
loan_purpose_p2,0.8741392166044067,0.8741392166044067
LTV,0.8691057351250773,0.8691057351250773
occupancy_type_ir,0.8474814001661721,0.8474814001661721
Neg_ammortization_neg_amm,0.794354827195811,0.794354827195811
Secured_by_land,0.7546831469643555,0.7546831469643555
construction_type_mh,0.7546831469643555,0.7546831469643555
Security_Type_Indriect,0.7546831469643555,0.7546831469643555
loan_limit_ncf,0.6929024703055987,0.6929024703055987
total_units_3U,0.5826876027049308,0.5826876027049308
Upfront_charges,-0.5487798212450103,0.5487798212450103
loan_type_type2,0.5372020695323788,0.5372020695323788
business_or_commercial_b/c,0.5372020695323788,0.5372020695323788
loan_type_type1,0.5325814804455086,0.5325814804455086
Credit_Worthiness_l2,0.5109410171413766,0.5109410171413766
total_units_1U,-0.5078272783370199,0.5078272783370199
interest_only_int_only,0.48204574918631443,0.48204574918631443
co-applicant_credit_type_CIB,0.45161726583852874,0.45161726583852874
approv_in_adv_missing,0.4469188852081387,0.4469188852081387
Interest_rate_spread,-0.4407060372959296,0.4407060372959296
open_credit_nopc,0.4311920650063451,0.4311920650063451
loan_type_type3,-0.4229450720802009,0.4229450720802009
total_units_2U,0.38252969306114426,0.38252969306114426
occupancy_type_pr,-0.36058457019341694,0.36058457019341694
submission_of_application_not_inst,-0.3049944794758641,0.3049944794758641
age_<25,0.29920260856296377,0.29920260856296377
Neg_ammortization_not_neg,-0.28044016849293313,0.28044016849293313
Region_central,0.2767670485892709,0.2767670485892709
income,-0.2679613877641928,0.2679613877641928
Region_North-East,0.264084135776632,0.264084135776632
age_>74,0.26364265878713283,0.26364265878713283
loan_purpose_p3,0.26189591013798,0.26189591013798
Gender_Male,0.25013607679105043,0.25013607679105043
open_credit_opc,0.21564641288950492,0.21564641288950492
rate_of_interest,-0.19985458896772496,0.19985458896772496
co-applicant_credit_type_EXP,0.1952212120577642,0.1952212120577642
approv_in_adv_nopre,0.19478064266916448,0.19478064266916448
loan_purpose_missing,-0.19092297816705775,0.19092297816705775
total_units_4U,0.18944846046769864,0.18944846046769864
property_value,0.17169338616118668,0.17169338616118668
interest_only_not_int,0.1647927287096403,0.1647927287096403
loan_purpose_p1,-0.1624281348171324,0.1624281348171324
occupancy_type_sr,0.15994164792429852,0.15994164792429852
Gender_Sex Not Available,0.15878442630089543,0.15878442630089543
age_25-34,-0.1504977171495283,0.1504977171495283
age_55-64,0.14016534734929123,0.14016534734929123
Gender_Female,0.1396387540819982,0.1396387540819982
Credit_Worthiness_l1,0.13589746075398776,0.13589746075398776
loan_purpose_p4,-0.13584553586243692,0.13584553586243692
Neg_ammortization_missing,0.13292381919256524,0.13292381919256524
age_65-74,0.12413386074142341,0.12413386074142341
Region_south,0.12353243983914179,0.12353243983914179
age_35-44,-0.12181758092498986,0.12181758092498986
business_or_commercial_nob/c,0.10963640836432416,0.10963640836432416
Security_Type_direct,-0.10784466906827388,0.10784466906827388
construction_type_sb,-0.10784466906827388,0.10784466906827388
Secured_by_home,-0.10784466906827388,0.10784466906827388
dtir1,0.10409844470724888,0.10409844470724888
Gender_Joint,0.09827922072233061,0.09827922072233061
loan_limit_cf,-0.06276538337547664,0.06276538337547664
age_45-54,0.05349100370665315,0.05349100370665315
age_missing,0.038518296823486314,0.038518296823486314
submission_of_application_missing,0.038518296823486314,0.038518296823486314
term,-0.030890480250477605,0.030890480250477605
Credit_Score,0.018071410088439054,0.018071410088439054
Region_North,-0.017545146308845766,0.017545146308845766
loan_limit_missing,0.01670139096796253,0.01670139096796253
loan_amount,-0.015115669811671194,0.015115669811671194
approv_in_adv_pre,0.005138950019131026,0.005138950019131026
year,0.0,0.0
